31
0	0	0	256	38	1
1	256	38	160	32	1
2	416	70	160	32	1
3	576	0	160	134	1
4	800	0	32	38	1
5	864	0	32	70	1
6	928	0	32	102	1
7	960	0	136	38	1
8	1088	0	96	134	2
9	1152	16	96	22	1
10	1216	0	96	134	2
11	1280	48	64	22	1
12	1312	0	296	102	2
13	1376	16	64	22	1
14	1472	48	64	22	1
15	1568	16	128	22	1
16	1600	0	160	134	2
17	1824	0	32	38	1
18	1888	0	64	134	1
19	1984	0	32	70	1
20	2048	0	96	70	1
21	2144	0	96	102	1
22	2240	0	96	38	1
23	2336	0	64	70	1
24	2400	0	96	38	1
25	2496	0	96	70	1
26	2592	0	64	38	1
27	2656	0	64	70	1
28	2720	0	160	102	1
29	2944	0	112	38	1
30	3056	0	16	176	1
